track_name,artist_name,artist_pop,artist_genres,album,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_pop
"Into The Open Air - From ""Brave"" / Soundtrack Version",Julie Fowlis,52,"['celtic', 'puirt-a-beul', 'scottish folk']",Disney-Pixar All Time Favorites,0.493,0.491,-7.468,0.0291,0.726,0.0,0.12,0.268,138.946,160587,4,0
Remember Me (Ernesto de la Cruz),Benjamin Bratt,43,[],Coco (Original Motion Picture Soundtrack),0.446,0.587,-6.634,0.0413,0.565,0.000478,0.143,0.61,128.908,109280,4,61
"Beauty and the Beast - From ""Beauty and the Beast""/Soundtrack Version",Angela Lansbury,53,"['hollywood', 'movie tunes', 'show tunes']",Beauty And The Beast (Soundtrack),0.24,0.0881,-19.065,0.041,0.78,5.88e-06,0.152,0.169,171.91,166307,4,0
"Almost There - From ""The Princess and the Frog"" / Soundtrack Version",Anika Noni Rose,55,"['hollywood', 'movie tunes']",The Princess and the Frog,0.512,0.499,-6.485,0.0519,0.809,2.22e-05,0.284,0.51,78.907,144427,4,0
Something There - Remastered 2018,Angela Lansbury,53,"['hollywood', 'movie tunes', 'show tunes']",Walt Disney Records The Legacy Collection: Beauty and the Beast,0.581,0.256,-14.279,0.0409,0.843,2.97e-06,0.0951,0.428,126.076,138413,4,55
Evermore,Dan Stevens,48,"['disney', 'hollywood', 'movie tunes', 'show tunes']",Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition),0.285,0.396,-8.741,0.0318,0.674,6.6e-05,0.102,0.219,79.442,194542,3,65
Stand Out,Tevin Campbell,55,"['contemporary r&b', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",A Goofy Movie,0.816,0.715,-9.759,0.0607,0.0287,0.0,0.0399,0.938,141.989,180440,4,61
Story of My Life,One Direction,83,"['boy band', 'pop', 'post-teen pop', 'talent show']",Midnight Memories (Deluxe),0.6,0.663,-5.802,0.0477,0.225,0.0,0.119,0.286,121.07,245493,4,82
Best Day Of My Life,American Authors,65,"['modern rock', 'pop', 'pop rock', 'rock']","Oh, What A Life",0.673,0.902,-2.392,0.0346,0.0591,0.000262,0.0558,0.538,100.012,194240,4,79
Me And My Broken Heart,Rixton,60,"['pop', 'pop rock', 'post-teen pop']",Let The Road,0.545,0.783,-4.261,0.0345,0.00489,0.0,0.132,0.551,174.084,193733,4,78
